Id,Name,Latitude,Longitude,Code,GmCode,Province,ProvinceId,ProvinceCode
1288,Stede Broec,NULL,NULL,0532,GM0532,Noord-Holland,27,PV27
1289,Steenbergen,NULL,NULL,0851,GM0851,Noord-Brabant,30,PV30
1290,Steenwijkerland,NULL,NULL,1708,GM1708,Overijssel,23,PV23
1291,Stein (L.),NULL,NULL,0971,GM0971,Limburg,31,PV31
1292,Stichtse Vecht,NULL,NULL,1904,GM1904,Utrecht,26,PV26
1293,S�dwest-Frysl�n,NULL,NULL,1900,GM1900,Friesland,21,PV21
1294,Terneuzen,NULL,NULL,0715,GM0715,Zeeland,29,PV29
1295,Terschelling,NULL,NULL,0093,GM0093,Friesland,21,PV21
1296,Texel,NULL,NULL,0448,GM0448,Noord-Holland,27,PV27
1297,Teylingen,NULL,NULL,1525,GM1525,Zuid-Holland,28,PV28
1298,Tholen,NULL,NULL,0716,GM0716,Zeeland,29,PV29
1299,Tiel,NULL,NULL,0281,GM0281,Gelderland,25,PV25
1300,Tilburg,NULL,NULL,0855,GM0855,Noord-Brabant,30,PV30
1301,Tubbergen,NULL,NULL,0183,GM0183,Overijssel,23,PV23
1302,Twenterand,NULL,NULL,1700,GM1700,Overijssel,23,PV23
1303,Tynaarlo,NULL,NULL,1730,GM1730,Drenthe,22,PV22
1304,Tytsjerksteradiel,NULL,NULL,0737,GM0737,Friesland,21,PV21
1305,Uitgeest,NULL,NULL,0450,GM0450,Noord-Holland,27,PV27
1306,Uithoorn,NULL,NULL,0451,GM0451,Noord-Holland,27,PV27
1307,Urk,NULL,NULL,0184,GM0184,Flevoland,24,PV24
1308,Utrecht,NULL,NULL,0344,GM0344,Utrecht,26,PV26
1309,Utrechtse Heuvelrug,NULL,NULL,1581,GM1581,Utrecht,26,PV26
1310,Vaals,NULL,NULL,0981,GM0981,Limburg,31,PV31
1311,Valkenburg aan de Geul,NULL,NULL,0994,GM0994,Limburg,31,PV31
1312,Valkenswaard,NULL,NULL,0858,GM0858,Noord-Brabant,30,PV30
1313,Veendam,NULL,NULL,0047,GM0047,Groningen,20,PV20
1314,Veenendaal,NULL,NULL,0345,GM0345,Utrecht,26,PV26
1315,Veere,NULL,NULL,0717,GM0717,Zeeland,29,PV29
1316,Veldhoven,NULL,NULL,0861,GM0861,Noord-Brabant,30,PV30
1317,Velsen,NULL,NULL,0453,GM0453,Noord-Holland,27,PV27
1318,Venlo,NULL,NULL,0983,GM0983,Limburg,31,PV31
1319,Venray,NULL,NULL,0984,GM0984,Limburg,31,PV31
1320,Vijfheerenlanden,NULL,NULL,1961,GM1961,Utrecht,26,PV26
1321,Vlaardingen,NULL,NULL,0622,GM0622,Zuid-Holland,28,PV28
1322,Vlieland,NULL,NULL,0096,GM0096,Friesland,21,PV21
1323,Vlissingen,NULL,NULL,0718,GM0718,Zeeland,29,PV29
1324,Voerendaal,NULL,NULL,0986,GM0986,Limburg,31,PV31
1325,Voorne aan Zee,NULL,NULL,1992,GM1992,Zuid-Holland,28,PV28
1326,Voorschoten,NULL,NULL,0626,GM0626,Zuid-Holland,28,PV28
1327,Voorst,NULL,NULL,0285,GM0285,Gelderland,25,PV25
1328,Vught,NULL,NULL,0865,GM0865,Noord-Brabant,30,PV30
1329,Waadhoeke,NULL,NULL,1949,GM1949,Friesland,21,PV21
1330,Waalre,NULL,NULL,0866,GM0866,Noord-Brabant,30,PV30
1331,Waalwijk,NULL,NULL,0867,GM0867,Noord-Brabant,30,PV30
1332,Waddinxveen,NULL,NULL,0627,GM0627,Zuid-Holland,28,PV28
1333,Wageningen,NULL,NULL,0289,GM0289,Gelderland,25,PV25
1334,Wassenaar,NULL,NULL,0629,GM0629,Zuid-Holland,28,PV28
1335,Waterland,NULL,NULL,0852,GM0852,Noord-Holland,27,PV27
1336,Weert,NULL,NULL,0988,GM0988,Limburg,31,PV31
1337,West Betuwe,NULL,NULL,1960,GM1960,Gelderland,25,PV25
1338,West Maas en Waal,NULL,NULL,0668,GM0668,Gelderland,25,PV25
1339,Westerkwartier,NULL,NULL,1969,GM1969,Groningen,20,PV20
1340,Westerveld,NULL,NULL,1701,GM1701,Drenthe,22,PV22
1341,Westervoort,NULL,NULL,0293,GM0293,Gelderland,25,PV25
1342,Westerwolde,NULL,NULL,1950,GM1950,Groningen,20,PV20
1343,Westland,NULL,NULL,1783,GM1783,Zuid-Holland,28,PV28
1344,Weststellingwerf,NULL,NULL,0098,GM0098,Friesland,21,PV21
1345,Wierden,NULL,NULL,0189,GM0189,Overijssel,23,PV23
1346,Wijchen,NULL,NULL,0296,GM0296,Gelderland,25,PV25
1347,Wijdemeren,NULL,NULL,1696,GM1696,Noord-Holland,27,PV27
1348,Wijk bij Duurstede,NULL,NULL,0352,GM0352,Utrecht,26,PV26
1349,Winterswijk,NULL,NULL,0294,GM0294,Gelderland,25,PV25
1350,Woensdrecht,NULL,NULL,0873,GM0873,Noord-Brabant,30,PV30
1351,Woerden,NULL,NULL,0632,GM0632,Utrecht,26,PV26
1352,De Wolden,NULL,NULL,1690,GM1690,Drenthe,22,PV22
1353,Wormerland,NULL,NULL,0880,GM0880,Noord-Holland,27,PV27
1354,Woudenberg,NULL,NULL,0351,GM0351,Utrecht,26,PV26
1355,Zaanstad,NULL,NULL,0479,GM0479,Noord-Holland,27,PV27
1356,Zaltbommel,NULL,NULL,0297,GM0297,Gelderland,25,PV25
1357,Zandvoort,NULL,NULL,0473,GM0473,Noord-Holland,27,PV27
